sourceId,referenceTimestamp,datatype,value,unit,lon,lat
SN67140,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),4.1,degC,10.2973,63.3403
SN68050,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),3.9,degC,10.4428,63.4428
SN68860,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),3.5,degC,10.4538,63.4107
SN69150,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),4.2,degC,10.8796051,63.488132
SN68120,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),2.8,degC,10.3597,63.3628
SN68125,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),2.1,degC,10.3498,63.4223
SN71780,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),3.8,degC,10.2237,63.9678
SN69100,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),4.6,degC,10.9305,63.4597
SN69020,2015-01-07 06:00:00+00:00,mean(air_temperature P1D),4.0,degC,10.515,63.4268
SN69020,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),3.3,degC,10.515,63.4268
SN69655,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),3.2,degC,10.6932,63.5652
SN68860,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),2.7,degC,10.4538,63.4107
SN71780,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),2.5,degC,10.2237,63.9678
SN69100,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),3.5,degC,10.9305,63.4597
SN68050,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),2.2,degC,10.4428,63.4428
SN68120,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),2.8,degC,10.3597,63.3628
SN69150,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),3.1,degC,10.8796051,63.488132
SN67140,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),3.1,degC,10.2973,63.3403
SN68125,2015-01-08 06:00:00+00:00,mean(air_temperature P1D),0.8,degC,10.3498,63.4223
SN68860,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),2.2,degC,10.4538,63.4107
SN68125,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),1.2,degC,10.3498,63.4223
SN69020,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),3.7,degC,10.515,63.4268
SN68050,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),2.2,degC,10.4428,63.4428
SN71780,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),2.8,degC,10.2237,63.9678
SN68120,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,10.3597,63.3628
SN69100,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),1.9,degC,10.9305,63.4597
SN69150,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),1.7,degC,10.8796051,63.488132
SN67140,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),1.5,degC,10.2973,63.3403
SN69655,2015-01-09 06:00:00+00:00,mean(air_temperature P1D),3.2,degC,10.6932,63.5652
SN68860,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-4.7,degC,10.4538,63.4107
SN69150,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-4.8,degC,10.8796051,63.488132
SN69020,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,10.515,63.4268
SN69100,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-4.1,degC,10.9305,63.4597
SN68125,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-6.7,degC,10.3498,63.4223
SN67140,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-6.9,degC,10.2973,63.3403
SN71780,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-2.0,degC,10.2237,63.9678
SN68050,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-4.9,degC,10.4428,63.4428
SN69655,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-2.6,degC,10.6932,63.5652
SN68120,2015-01-10 06:00:00+00:00,mean(air_temperature P1D),-6.7,degC,10.3597,63.3628
SN68120,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-3.0,degC,10.3597,63.3628
SN68860,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-2.9,degC,10.4538,63.4107
SN69150,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-2.8,degC,10.8796051,63.488132
SN67140,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,10.2973,63.3403
SN69100,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-2.5,degC,10.9305,63.4597
SN68050,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,10.4428,63.4428
SN69655,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-2.4,degC,10.6932,63.5652
SN69020,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-1.8,degC,10.515,63.4268
SN68125,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-3.5,degC,10.3498,63.4223
SN71780,2015-01-11 06:00:00+00:00,mean(air_temperature P1D),-2.9,degC,10.2237,63.9678
SN68050,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-6.7,degC,10.4428,63.4428
SN71780,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-8.0,degC,10.2237,63.9678
SN69150,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-7.7,degC,10.8796051,63.488132
SN68125,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-9.7,degC,10.3498,63.4223
SN68860,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-8.2,degC,10.4538,63.4107
SN68120,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-9.5,degC,10.3597,63.3628
SN69100,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-8.1,degC,10.9305,63.4597
SN69655,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-7.7,degC,10.6932,63.5652
SN69020,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-7.5,degC,10.515,63.4268
SN67140,2015-01-12 06:00:00+00:00,mean(air_temperature P1D),-7.3,degC,10.2973,63.3403
SN69655,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-2.3,degC,10.6932,63.5652
SN68120,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-2.6,degC,10.3597,63.3628
SN69150,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-2.0,degC,10.8796051,63.488132
SN71780,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-3.1,degC,10.2237,63.9678
SN68050,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-1.3,degC,10.4428,63.4428
SN68860,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-2.2,degC,10.4538,63.4107
SN69020,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-1.4,degC,10.515,63.4268
SN69100,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-1.8,degC,10.9305,63.4597
SN68125,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-4.0,degC,10.3498,63.4223
SN67140,2015-01-13 06:00:00+00:00,mean(air_temperature P1D),-0.5,degC,10.2973,63.3403
SN67140,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),0.2,degC,10.2973,63.3403
SN68860,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,10.4538,63.4107
SN68125,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),-1.0,degC,10.3498,63.4223
SN69020,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.8,degC,10.515,63.4268
SN68050,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),0.0,degC,10.4428,63.4428
SN69100,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.5,degC,10.9305,63.4597
SN68120,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),-1.6,degC,10.3597,63.3628
SN71780,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,10.2237,63.9678
SN69655,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.9,degC,10.6932,63.5652
SN69150,2015-01-14 06:00:00+00:00,mean(air_temperature P1D),1.2,degC,10.8796051,63.488132
SN67140,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),0.7,degC,10.2973,63.3403
SN69020,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),2.2,degC,10.515,63.4268
SN69100,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),1.4,degC,10.9305,63.4597
SN68860,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),1.5,degC,10.4538,63.4107
SN69655,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),1.6,degC,10.6932,63.5652
SN68125,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),-0.5,degC,10.3498,63.4223
SN68120,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),-1.0,degC,10.3597,63.3628
SN68050,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),1.1,degC,10.4428,63.4428
SN69150,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),0.8,degC,10.8796051,63.488132
SN71780,2015-01-15 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,10.2237,63.9678
SN68860,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.0,degC,10.4538,63.4107
SN69655,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.0,degC,10.6932,63.5652
SN69150,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.1,degC,10.8796051,63.488132
SN67140,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.7,degC,10.2973,63.3403
SN68125,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),2.0,degC,10.3498,63.4223
SN68120,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),2.7,degC,10.3597,63.3628
SN69020,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.8,degC,10.515,63.4268
SN68050,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.5,degC,10.4428,63.4428
SN71780,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),2.4,degC,10.2237,63.9678
SN69100,2015-01-16 06:00:00+00:00,mean(air_temperature P1D),3.5,degC,10.9305,63.4597
SN68050,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),1.7,degC,10.4428,63.4428
SN69100,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),2.0,degC,10.9305,63.4597
SN68125,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),1.3,degC,10.3498,63.4223
SN69150,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),1.7,degC,10.8796051,63.488132
SN67140,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),1.3,degC,10.2973,63.3403
SN71780,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),-0.2,degC,10.2237,63.9678
SN69020,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),3.4,degC,10.515,63.4268
SN68120,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),1.1,degC,10.3597,63.3628
SN69655,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),2.6,degC,10.6932,63.5652
SN68860,2015-01-17 06:00:00+00:00,mean(air_temperature P1D),2.6,degC,10.4538,63.4107
SN68120,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),1.0,degC,10.3597,63.3628
SN69100,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),2.4,degC,10.9305,63.4597
SN69150,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),2.3,degC,10.8796051,63.488132
SN68050,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),2.1,degC,10.4428,63.4428
SN69655,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),2.8,degC,10.6932,63.5652
SN69020,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),3.1,degC,10.515,63.4268
SN68125,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),1.2,degC,10.3498,63.4223
SN71780,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),3.1,degC,10.2237,63.9678
SN67140,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),1.4,degC,10.2973,63.3403
SN68860,2015-01-18 06:00:00+00:00,mean(air_temperature P1D),1.6,degC,10.4538,63.4107
SN67140,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),-0.8,degC,10.2973,63.3403
SN68050,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.4,degC,10.4428,63.4428
SN68860,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),-0.2,degC,10.4538,63.4107
SN68125,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),-1.5,degC,10.3498,63.4223
SN69020,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.9,degC,10.515,63.4268
SN69150,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.1,degC,10.8796051,63.488132
SN71780,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.4,degC,10.2237,63.9678
SN69100,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.6,degC,10.9305,63.4597
SN69655,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),0.9,degC,10.6932,63.5652
SN68120,2015-01-19 06:00:00+00:00,mean(air_temperature P1D),-1.7,degC,10.3597,63.3628
